nombre,Semana.,Unid x Minuto,Cumplimiento
Talara Municipalidad - PVH,Semana 19,13.57,96.91 %
Tumbes - PVH,Semana 19,13.65,97.53 %
Chiclayo - PVH,Semana 20,12.58,89.86 %
Chiclayo Aventura - PVH,Semana 20,13.61,97.20 %
Chimbote - PVH,Semana 20,14.66,97.75 %
El Chacarero - PVH,Semana 20,14.78,105.55 %
Nvo Chimbote - PVH,Semana 20,13.52,96.59 %
Paita - PVH,Semana 20,16.26,116.11 %
Piura - PVH,Semana 20,14.06,100.43 %
Sullana - PVH,Semana 20,19.61,70.03 %
Talara - PVH,Semana 20,12.54,89.57 %
Talara Municipalidad - PVH,Semana 20,14.42,102.97 %
Tumbes - PVH,Semana 20,14.22,101.58 %
Chiclayo - PVH,Semana 21,12.50,89.28 %
Chiclayo Aventura - PVH,Semana 21,13.43,95.92 %
Chimbote - PVH,Semana 21,13.55,90.36 %
El Chacarero - PVH,Semana 21,13.92,99.43 %
Nvo Chimbote - PVH,Semana 21,13.02,92.99 %
Paita - PVH,Semana 21,16.09,114.94 %
Piura - PVH,Semana 21,13.85,98.94 %
Sullana - PVH,Semana 21,19.41,69.31 %
Talara - PVH,Semana 21,11.04,78.87 %
Talara Municipalidad - PVH,Semana 21,14.11,100.78 %
Tumbes - PVH,Semana 21,14.97,106.96 %
Chiclayo - PVH,Semana 22,12.57,89.80 %
Chiclayo Aventura - PVH,Semana 22,13.08,93.43 %
Chimbote - PVH,Semana 22,13.90,92.70 %
El Chacarero - PVH,Semana 22,15.51,110.76 %
Nvo Chimbote - PVH,Semana 22,13.01,92.95 %
Paita - PVH,Semana 22,15.88,113.41 %
Piura - PVH,Semana 22,14.02,100.14 %
Sullana - PVH,Semana 22,20.84,74.44 %
Talara - PVH,Semana 22,12.01,85.78 %
Talara Municipalidad - PVH,Semana 22,14.72,105.18 %
Tumbes - PVH,Semana 22,14.49,103.51 %
Chiclayo - PVH,Semana 23,13.34,95.31 %
Chiclayo Aventura - PVH,Semana 23,15.80,112.84 %
Chimbote - PVH,Semana 23,15.36,102.38 %
El Chacarero - PVH,Semana 23,15.61,111.48 %
Nvo Chimbote - PVH,Semana 23,13.58,97.02 %
Paita - PVH,Semana 23,16.15,115.34 %
Piura - PVH,Semana 23,14.38,102.71 %
Sullana - PVH,Semana 23,19.72,70.41 %
Talara - PVH,Semana 23,12.82,91.58 %
Talara Municipalidad - PVH,Semana 23,15.07,107.68 %
Tumbes - PVH,Semana 23,14.38,102.72 %
Chiclayo - PVH,Semana 24,12.98,92.73 %
Chiclayo Aventura - PVH,Semana 24,14.29,102.09 %
Chimbote - PVH,Semana 24,14.62,97.49 %
El Chacarero - PVH,Semana 24,14.30,102.18 %
Nvo Chimbote - PVH,Semana 24,13.72,97.97 %
Paita - PVH,Semana 24,16.22,115.86 %
Piura - PVH,Semana 24,14.63,104.50 %
Sullana - PVH,Semana 24,19.57,69.89 %
Talara - PVH,Semana 24,11.58,82.75 %
Talara Municipalidad - PVH,Semana 24,14.38,102.73 %
Tumbes - PVH,Semana 24,14.49,103.53 %
Chiclayo - PVH,Semana 25,12.82,91.57 %
Chiclayo Aventura - PVH,Semana 25,14.98,106.98 %
Chimbote - PVH,Semana 25,12.29,81.95 %
El Chacarero - PVH,Semana 25,16.98,121.30 %
Nvo Chimbote - PVH,Semana 25,12.03,85.91 %
Paita - PVH,Semana 25,15.97,114.09 %
Piura - PVH,Semana 25,15.09,107.78 %
Sullana - PVH,Semana 25,17.76,63.44 %
Talara - PVH,Semana 25,14.31,102.21 %
Talara Municipalidad - PVH,Semana 25,14.70,104.97 %
Tumbes - PVH,Semana 25,12.86,91.86 %
